,Transaction,Date,Price
576,Buy,2016-12-29,1441.574951171875
577,Buy,2017-03-14,1588.375
578,Buy,2017-05-22,1816.7249755859375
579,Buy,2017-06-01,1802.949951171875
580,Buy,2017-06-21,1835.1500244140625
581,Buy,2017-09-26,2163.0
582,Buy,2017-09-28,2169.85009765625
583,Buy,2017-11-08,2326.75
584,Buy,2017-12-07,2474.97509765625
585,Buy,2017-12-19,2378.27490234375
586,Buy,2017-12-22,2373.324951171875
587,Buy,2018-01-01,2369.125
588,Buy,2018-01-11,2360.77490234375
589,Buy,2018-01-19,2342.22509765625
590,Buy,2018-01-29,2346.050048828125
591,Buy,2018-02-08,2314.0
592,Buy,2018-03-07,2442.35009765625
593,Buy,2018-03-12,2433.39990234375
594,Buy,2018-03-26,2429.0
595,Buy,2018-07-31,3271.10009765625
596,Buy,2018-08-13,3215.324951171875
597,Buy,2018-09-28,2911.75
598,Buy,2018-10-10,2854.25
599,Buy,2018-10-12,2878.75
600,Buy,2018-10-22,2790.074951171875
601,Buy,2018-10-31,2822.050048828125
602,Buy,2018-12-12,3056.5
603,Buy,2019-01-03,3135.89990234375
604,Buy,2019-01-11,3096.85009765625
605,Buy,2019-02-07,3214.10009765625
606,Buy,2019-02-21,3001.60009765625
607,Buy,2019-04-04,3041.800048828125
608,Buy,2019-04-16,3020.5
609,Buy,2019-04-23,2991.0
610,Buy,2019-05-17,2779.25
611,Buy,2019-07-04,2841.35009765625
612,Buy,2019-07-12,2780.60009765625
613,Buy,2019-07-17,2797.800048828125
614,Buy,2019-08-22,2440.75
615,Buy,2019-09-20,2867.0
616,Buy,2019-10-09,3058.5
617,Buy,2019-10-15,3181.10009765625
618,Buy,2019-11-13,3269.75
619,Buy,2019-12-06,3069.60009765625
620,Buy,2019-12-12,3073.550048828125
621,Buy,2019-12-17,3071.949951171875
622,Buy,2020-01-13,3045.10009765625
623,Buy,2020-03-04,3063.050048828125
624,Buy,2020-03-11,3048.300048828125
625,Buy,2020-03-13,2763.60009765625
626,Buy,2020-03-26,2588.449951171875
627,Buy,2020-03-31,2688.949951171875
628,Buy,2020-05-08,2994.64990234375
629,Buy,2020-06-23,3467.050048828125
630,Buy,2020-07-31,3823.60009765625
631,Buy,2020-08-07,3934.800048828125
632,Buy,2020-08-17,3868.64990234375
633,Buy,2020-09-02,3799.199951171875
634,Buy,2020-09-11,3772.25
635,Buy,2020-09-16,3844.5
